Week,Total A,Total B,Percent Positive A,Percent Positive B ,Total # Tested,% Positive,Total Cases
201940,136,124,0.68,0.62,19851,1.3,260
201941,146,181,0.66,0.81,22113,1.47,327
201942,172,187,0.74,0.8,23131,1.55,359
201943,201,354,0.81,1.43,24630,2.25,555
201944,221,556,0.86,2.18,25417,3.05,777
201945,414,1075,1.43,3.72,28842,5.16,1489
201946,535,1589,1.7,5.05,31439,6.75,2124
201947,903,2581,2.47,7.07,36497,9.54,3484
201948,1079,2793,3.04,7.89,35398,10.93,3872
201949,1426,3461,3.4,8.25,41929,11.65,4887
201950,2158,5097,4.8,11.34,44911,16.15,7255
201951,3697,8579,6.78,15.74,54480,22.53,12276
201952,5980,11264,9.34,17.59,64024,26.93,17244
202001,5645,9664,8.66,14.82,65177,23.48,15309
202002,6109,7928,10.06,13.05,60717,23.11,14037
202003,7712,8020,12.78,13.29,60316,26.08,15732
202004,9478,8764,14.69,13.58,64502,28.28,18242
202005,12102,9671,16.75,13.39,72224,30.14,21773
202006,12960,8787,18.03,12.22,71868,30.25,21747
202007,13372,7180,19.3,10.36,69257,29.67,20552
202008,12714,5755,19.49,8.82,65212,28.32,18469
202009,11713,4363,18.76,6.98,62427,25.75,16076
202010,11050,3378,17.22,5.26,64149,22.49,14428
202011,9077,2690,12.19,3.61,74416,15.81,11767
202012,4131,1352,5.65,1.84,73090,7.5,5483
202013,759,280,1.69,0.62,44754,2.32,1039
202014,196,122,0.63,0.39,30838,1.03,318
202015,75,46,0.38,0.23,19572,0.61,121
202016,58,32,0.4,0.22,14443,0.62,90
202017,20,8,0.15,0.06,12822,0.21,28
202018,19,8,0.18,0.07,10268,0.26,27
202019,14,15,0.15,0.16,8891,0.32,29
202020,14,10,0.17,0.12,7844,0.3,24
202021,8,8,0.1,0.1,7523,0.21,16
202022,7,3,0.11,0.04,6054,0.16,10
202023,9,12,0.14,0.19,6181,0.33,21
202024,8,8,0.13,0.13,5718,0.27,16
202025,12,8,0.22,0.15,5247,0.38,20
202026,9,7,0.15,0.12,5667,0.28,16
202027,8,5,0.12,0.08,6179,0.21,13
202028,6,5,0.09,0.08,6241,0.17,11
202029,11,12,0.17,0.19,6117,0.37,23
202030,5,4,0.08,0.06,5979,0.15,9
202031,3,5,0.04,0.08,6030,0.13,8
202032,6,3,0.09,0.04,6243,0.14,9
202033,4,4,0.06,0.06,6043,0.13,8
202034,5,7,0.08,0.11,6153,0.19,12
202035,7,12,0.11,0.19,6140,0.3,19
202036,7,6,0.11,0.1,5877,0.22,13
202037,6,6,0.09,0.09,6111,0.19,12
202038,11,14,0.16,0.21,6632,0.37,25
202039,5,1,0.07,0.01,6536,0.09,6
