Week,Total A,Total B,Percent Positive A,Percent Positive B ,Total # Tested,% Positive,Total Cases
202040,19,21,0.15,0.17,12157,0.32,40
202041,30,28,0.2,0.18,14886,0.38,58
202042,27,26,0.17,0.17,15005,0.35,53
202043,21,21,0.12,0.12,16571,0.25,42
202044,24,20,0.11,0.09,20518,0.21,44
202045,31,25,0.11,0.09,26238,0.21,56
202046,30,43,0.08,0.12,34138,0.21,73
202047,34,54,0.08,0.13,38674,0.22,88
202048,19,36,0.05,0.1,33906,0.16,55
202049,31,65,0.07,0.15,42348,0.22,96
202050,25,76,0.06,0.18,41408,0.24,101
202051,34,80,0.08,0.19,40736,0.27,114
202052,34,67,0.08,0.17,38427,0.26,101
202053,33,73,0.07,0.17,41333,0.25,106
202101,28,95,0.06,0.22,42120,0.29,123
202102,21,47,0.05,0.12,39071,0.17,68
202103,21,62,0.05,0.17,36435,0.22,83
202104,12,48,0.03,0.14,33955,0.17,60
202105,21,52,0.06,0.15,34095,0.21,73
202106,9,35,0.02,0.11,31708,0.13,44
202107,18,22,0.05,0.07,30288,0.13,40
202108,17,24,0.05,0.07,33836,0.12,41
202109,14,17,0.04,0.05,32738,0.09,31
202110,13,15,0.04,0.04,31679,0.08,28
202111,13,8,0.05,0.03,23546,0.08,21
